0.1000	0.1129	0.1274	0.1438	0.1624	0.1833	0.2069	0.2336	0.2637	0.2976	0.3360	0.3793	0.4281	0.4833	0.5456	0.6158	0.6952	0.7848	0.8859	1.0000	feature_label
0.82	0.88	0.91	0.88	0.85	0.86	0.84	0.8	0.81	0.67	0.72	0.55	0.38	0.35	0.25	0.07	0.01	0.0	0.0	0.0	vascular_fibroblasts
0.41	0.42	0.4	0.31	0.22	0.3	0.23	0.22	0.1	0.11	0.05	0.03	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	thymus_macrophages
0.91	0.95	0.87	0.91	0.95	0.91	0.88	0.87	0.81	0.75	0.78	0.81	0.72	0.63	0.56	0.3	0.25	0.08	0.02	0.0	adipose.tissue_monocytes
0.75	0.69	0.67	0.66	0.61	0.67	0.75	0.56	0.55	0.49	0.44	0.35	0.27	0.13	0.06	0.03	0.01	0.0	0.0	0.0	adipose.tissue_macrophages
0.8	0.75	0.78	0.81	0.81	0.73	0.62	0.55	0.5	0.47	0.36	0.26	0.14	0.1	0.01	0.01	0.0	0.0	0.0	0.0	kidney_macrophages
0.36	0.26	0.25	0.19	0.2	0.12	0.23	0.08	0.09	0.07	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	vascular_macrophages
0.38	0.31	0.42	0.39	0.37	0.36	0.34	0.39	0.41	0.35	0.31	0.37	0.26	0.28	0.11	0.17	0.07	0.03	0.0	0.0	fallopian.tube_macrophages
0.38	0.34	0.32	0.39	0.22	0.2	0.19	0.08	0.08	0.05	0.03	0.03	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	spleen_macrophages
0.62	0.62	0.63	0.63	0.65	0.75	0.75	0.59	0.7	0.66	0.54	0.5	0.58	0.35	0.25	0.11	0.0	0.0	0.0	0.0	thymus_fibroblasts
0.05	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	endometrium_macrophages
0.5	0.7	0.57	0.53	0.59	0.55	0.53	0.31	0.43	0.32	0.25	0.11	0.04	0.03	0.0	0.0	0.0	0.0	0.0	0.0	ovary_endothelial.cells
0.85	0.85	0.94	0.88	0.93	0.86	0.92	0.83	0.9	0.81	0.84	0.78	0.84	0.7	0.54	0.51	0.32	0.13	0.03	0.0	placenta_hofbauer.cells
0.88	0.92	0.96	0.94	0.93	0.83	0.82	0.9	0.75	0.67	0.75	0.62	0.61	0.46	0.26	0.2	0.07	0.02	0.0	0.0	prostate_macrophages
0.81	0.68	0.73	0.71	0.72	0.67	0.6	0.47	0.49	0.45	0.34	0.18	0.12	0.1	0.04	0.0	0.0	0.0	0.0	0.0	endometrium_endothelial.cells
0.8	0.78	0.69	0.64	0.57	0.37	0.35	0.28	0.11	0.05	0.04	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	placenta_smooth.muscle.cells
0.82	0.77	0.85	0.85	0.82	0.83	0.84	0.83	0.84	0.81	0.8	0.77	0.63	0.58	0.5	0.19	0.17	0.09	0.0	0.0	pancreas_endothelial.cells
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	skeletal.muscle_macrophages
0.88	0.89	0.89	0.83	0.86	0.85	0.74	0.63	0.54	0.36	0.41	0.16	0.15	0.03	0.02	0.0	0.0	0.0	0.0	0.0	pancreas_fibroblasts
0.45	0.49	0.39	0.4	0.4	0.34	0.41	0.28	0.29	0.2	0.2	0.13	0.11	0.06	0.04	0.01	0.0	0.0	0.0	0.0	salivary.gland_fibroblasts
0.87	0.81	0.82	0.83	0.87	0.85	0.8	0.81	0.75	0.8	0.77	0.55	0.55	0.5	0.34	0.16	0.06	0.02	0.0	0.0	fallopian.tube_endothelial.cells
0.63	0.52	0.4	0.33	0.24	0.1	0.09	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	thymus_smooth.muscle.cells
0.49	0.51	0.39	0.4	0.33	0.43	0.4	0.29	0.24	0.22	0.22	0.14	0.05	0.04	0.0	0.01	0.0	0.0	0.0	0.0	lung_macrophages
0.13	0.06	0.05	0.05	0.01	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	esophagus_endothelial.cells
0.33	0.42	0.28	0.25	0.34	0.36	0.25	0.28	0.19	0.14	0.13	0.12	0.1	0.03	0.0	0.0	0.0	0.0	0.0	0.0	pancreas_macrophages
0.08	0.05	0.04	0.07	0.04	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	vascular_endothelial.cells
0.99	0.98	0.98	0.99	0.99	0.98	0.92	0.87	0.85	0.73	0.64	0.63	0.52	0.38	0.21	0.16	0.04	0.01	0.01	0.0	small.intestine_proximal.enterocytes
0.84	0.77	0.75	0.76	0.74	0.68	0.75	0.69	0.72	0.51	0.56	0.48	0.4	0.41	0.29	0.14	0.04	0.01	0.0	0.0	lung_fibroblasts
0.08	0.01	0.04	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	thymus_endothelial.cells
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	esophagus_macrophages
0.08	0.02	0.04	0.05	0.06	0.05	0.05	0.06	0.02	0.04	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	adipose.tissue_fibroblasts
0.25	0.16	0.18	0.07	0.16	0.1	0.03	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	prostate_endothelial.cells
0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	stomach_fibroblasts
0.56	0.5	0.58	0.47	0.44	0.49	0.37	0.28	0.22	0.12	0.11	0.09	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	skin_fibroblasts
0.48	0.46	0.38	0.3	0.39	0.38	0.29	0.26	0.27	0.21	0.12	0.07	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.0	lung_endothelial.cells
0.83	0.74	0.61	0.66	0.44	0.3	0.17	0.08	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	fallopian.tube_plasma.cells
0.5	0.53	0.54	0.39	0.39	0.37	0.4	0.22	0.21	0.2	0.1	0.09	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	skin_langerhans.cells
0.14	0.11	0.05	0.04	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bone.marrow_macrophages
0.33	0.43	0.36	0.38	0.41	0.35	0.33	0.3	0.21	0.21	0.22	0.06	0.13	0.03	0.04	0.0	0.0	0.0	0.0	0.0	breast_fibroblasts
0.5	0.44	0.25	0.17	0.08	0.05	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	salivary.gland_plasma.cells
0.21	0.18	0.18	0.09	0.09	0.13	0.08	0.11	0.06	0.07	0.01	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	fallopian.tube_fibroblasts
0.32	0.29	0.18	0.19	0.2	0.15	0.13	0.13	0.11	0.06	0.06	0.06	0.06	0.03	0.01	0.0	0.0	0.0	0.0	0.0	testis_macrophages
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	esophagus_plasma.cells
0.37	0.4	0.23	0.16	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovary_lymphatic.endothelial.cells
0.83	0.77	0.78	0.78	0.65	0.65	0.54	0.58	0.53	0.38	0.28	0.35	0.19	0.1	0.06	0.03	0.02	0.01	0.0	0.0	liver_kupffer.cells
0.38	0.46	0.37	0.33	0.38	0.26	0.22	0.15	0.1	0.06	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	breast_endothelial.cells
0.15	0.18	0.19	0.12	0.04	0.07	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	endometrium_smooth.muscle.cells
